term_id,term_str,n,f,stem,sw,go
274,6,144,0.00018548980256929138,6,True,False
275,60,63,8.115178862406499e-05,60,True,False
276,600,3,3.864370886860238e-06,600,True,False
277,61,5,6.440618144767062e-06,61,True,False
278,62,13,1.674560717639436e-05,62,True,False
279,63,4,5.15249451581365e-06,63,True,False
280,64,7,9.016865402673887e-06,64,True,False
281,65,20,2.576247257906825e-05,65,True,False
282,66,5,6.440618144767062e-06,66,True,False
283,667,1,1.2881236289534124e-06,667,True,False
284,67,8,1.03049890316273e-05,67,True,False
285,68,4,5.15249451581365e-06,68,True,False
286,69,4,5.15249451581365e-06,69,True,False
287,690,1,1.2881236289534124e-06,690,True,False
288,6g,1,1.2881236289534124e-06,6g,True,False
289,7,60,7.728741773720475e-05,7,True,False
290,70,58,7.471117047929793e-05,70,True,False
291,700,3,3.864370886860238e-06,700,True,False
292,707,1,1.2881236289534124e-06,707,True,False
293,70s,1,1.2881236289534124e-06,70,True,False
294,71,3,3.864370886860238e-06,71,True,False
295,72,6,7.728741773720475e-06,72,True,False
296,73,3,3.864370886860238e-06,73,True,False
297,730,1,1.2881236289534124e-06,730,True,False
298,74,7,9.016865402673887e-06,74,True,False
299,75,42,5.410119241604332e-05,75,True,False
300,76,4,5.15249451581365e-06,76,True,False
301,77,2,2.576247257906825e-06,77,True,False
302,772,1,1.2881236289534124e-06,772,True,False
303,777,2,2.576247257906825e-06,777,True,False
304,78,4,5.15249451581365e-06,78,True,False
305,79,2,2.576247257906825e-06,79,True,False
306,8,118,0.00015199858821650266,8,True,False
307,80,53,6.827055233453086e-05,80,True,False
308,800,6,7.728741773720475e-06,800,True,False
309,80s,2,2.576247257906825e-06,80,True,False
310,81,6,7.728741773720475e-06,81,True,False
311,82,9,1.1593112660580711e-05,82,True,False
312,83,5,6.440618144767062e-06,83,True,False
313,84,6,7.728741773720475e-06,84,True,False
314,845,1,1.2881236289534124e-06,845,True,False
315,84s,1,1.2881236289534124e-06,84,True,False
316,85,24,3.09149670948819e-05,85,True,False
317,86,7,9.016865402673887e-06,86,True,False
318,869,1,1.2881236289534124e-06,869,True,False
319,87,5,6.440618144767062e-06,87,True,False
320,875,1,1.2881236289534124e-06,875,True,False
321,88,5,6.440618144767062e-06,88,True,False
322,89,1,1.2881236289534124e-06,89,True,False
323,9,54,6.955867596348427e-05,9,True,False
324,90,24,3.09149670948819e-05,90,True,False
325,900,3,3.864370886860238e-06,900,True,False
326,92,87,0.00011206675571894689,92,True,False
327,93,47,6.054181056081038e-05,93,True,False
328,94,100,0.00012881236289534123,94,True,False
329,95,62,7.986366499511157e-05,95,True,False
330,96,23,2.9626843465928487e-05,96,True,False
331,97,15,1.9321854434301188e-05,97,True,False
332,98,14,1.8033730805347774e-05,98,True,False
333,99,6,7.728741773720475e-06,99,True,False
334,a,24575,0.03165563818153011,a,True,False
335,a1611,1,1.2881236289534124e-06,a1611,True,False
336,aaron,5,6.440618144767062e-06,aaron,False,True
337,abadia,1,1.2881236289534124e-06,abadia,True,False
338,abandon,2,2.576247257906825e-06,abandon,True,False
339,abbey,2,2.576247257906825e-06,abbey,True,False
340,abboccato,1,1.2881236289534124e-06,abboccato,True,False
341,abbot,1,1.2881236289534124e-06,abbot,True,False
342,abbott,2,2.576247257906825e-06,abbott,True,False
343,abbreviated,3,3.864370886860238e-06,abbrevi,False,True
344,abc,1,1.2881236289534124e-06,abc,True,False
345,abeja,3,3.864370886860238e-06,abeja,False,True
